chrom	correlation	p-value
Tb427_01_v4	0.05325929641955006	0.0823388454734895
Tb427_02_v4	-0.0566062891706204	0.05042620067034633
Tb427_03_v4	-0.2967140006322078	5.470523090914162e-35
Tb427_04_v4	-0.0641663232467182	0.010441445182574787
Tb427_05_v4	0.01232048713054274	0.6213118713596625
Tb427_06_v4	-0.036636937699726584	0.14049103915555383
Tb427_07_v4	0.032433902220261955	0.12769850200743052
Tb427_08_v4	-0.0003858097350965552	0.9846695057956785
Tb427_09_v4	-0.09195340924609927	3.4966749716589506e-07
Tb427_10_v5	-0.007755712199184277	0.6176082822448201
Tb427_11_01_v4	-0.02800940344399206	0.04814421729301076
All	-0.05777024970273177	2.196697042113227e-20
