chrom	correlation	p-value
Tb427_01_v4	0.05173349354960485	0.09151960671107134
Tb427_02_v4	-0.059072235562198705	0.04118123328554866
Tb427_03_v4	-0.29236201589293326	5.6491967560711244e-34
Tb427_04_v4	-0.06320240380793427	0.01165871832159779
Tb427_05_v4	0.009668184804698499	0.6982811358962706
Tb427_06_v4	-0.03683345498697986	0.13837316360651428
Tb427_07_v4	0.028521228875393566	0.18043913478407173
Tb427_08_v4	-0.0015412909035514974	0.938811726431031
Tb427_09_v4	-0.09249879486914378	2.9778530526094325e-07
Tb427_10_v5	-0.01132698619208945	0.46591494902252306
Tb427_11_01_v4	-0.0313922497913393	0.026769125617168862
All	-0.05884979962133174	4.279948568837132e-21
